ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0,0,0,0,1
2,0.72727,0,0,0.090909,0.18182
3,0.63636,0,0.090909,0.090909,0.18182
4,0,0,0.18182,0.45455,0.36364
5,0.36364,0,0,0.54545,0.090909
6,0.54545,0,0.090909,0.18182,0.18182
7,0.45455,0,0.090909,0.18182,0.27273
8,0.72727,0,0,0.090909,0.18182
9,0.36364,0,0,0.54545,0.090909
10,0.45455,0,0.18182,0.27273,0.090909
11,0.72727,0,0.18182,0,0.090909
12,0.27273,0,0.27273,0.27273,0.18182
13,0.63636,0,0.090909,0.18182,0.090909
14,0.45455,0,0,0.090909,0.45455
15,0.81818,0,0,0.18182,0
16,0.63636,0,0.090909,0.27273,0
17,0.27273,0,0.090909,0.27273,0.36364
18,0.36364,0,0,0.63636,0
19,0.63636,0,0,0.27273,0.090909
20,0,0,0.18182,0,0.81818
21,0.63636,0,0,0.18182,0.18182
22,0,0,0,0,1
23,0.45455,0,0.090909,0.27273,0.18182
24,0,0,0.090909,0,0.90909
25,0.63636,0,0,0.090909,0.27273
26,0.63636,0,0,0,0.36364
27,0.72727,0,0,0.090909,0.18182
28,0,0,0.090909,0.45455,0.45455
29,0.27273,0,0.090909,0.45455,0.18182
30,0.45455,0,0.090909,0.45455,0
31,0.90909,0,0,0,0.090909
32,0.72727,0,0.090909,0.090909,0.090909
33,0.54545,0,0,0,0.45455
34,0.63636,0,0,0.27273,0.090909
35,0.36364,0.090909,0,0,0.54545
36,0.090909,0,0.18182,0.36364,0.36364
37,0.63636,0,0,0,0.36364
38,0.27273,0,0.090909,0.45455,0.18182
39,0.45455,0,0,0.36364,0.18182
40,0.27273,0,0.18182,0.18182,0.36364
41,0.18182,0,0,0.54545,0.27273
42,0,0,0.27273,0,0.72727
43,0.63636,0,0,0.090909,0.27273
44,0.090909,0,0.090909,0,0.81818
45,0.72727,0,0,0.090909,0.18182
46,0.72727,0,0,0.27273,0
47,1,0,0,0,0
48,0.45455,0,0,0.27273,0.27273
49,0.45455,0,0,0.27273,0.27273
50,0.090909,0,0,0.36364,0.54545
51,0.27273,0.18182,0.090909,0,0.45455
52,0.54545,0,0.090909,0.27273,0.090909
53,0.63636,0,0.090909,0.090909,0.18182
54,0.090909,0,0,0,0.90909
55,0,0,0.090909,0,0.90909
56,0.81818,0,0,0.18182,0
57,0.45455,0,0.090909,0.45455,0
58,0,0,0,0,1
59,0,0,0.090909,0,0.90909
