ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.0683965,0.00586244,0.0405235,0.234726,0.574598
2,0.686698,0.000568124,0.0158676,0.247473,0.0803634
3,0.732796,0.00196414,0.0105753,0.0580011,0.221743
4,0.0730646,0.000392154,0.0351376,0.311001,0.492367
5,0.511737,0.00168054,0.0130634,0.299436,0.202093
6,0.463938,0.00174756,0.0176657,0.323804,0.164158
7,0.1616,0.00377795,0.19096,0.244162,0.143175
8,0.772834,0.00348865,0.00859922,0.0357741,0.235929
9,0.671324,0.000691953,0.00612856,0.198374,0.179621
10,0.510087,0.000359273,0.0399049,0.297075,0.121404
11,0.677249,0.000562476,0.00614409,0.202629,0.152481
12,0.0463469,0.0025136,0.14417,0.274694,0.455204
13,0.546069,0.000711464,0.0385151,0.264751,0.132775
14,0.58358,0.00158323,0.0267696,0.0516064,0.303242
15,0.648093,7.89916e-06,0.0102237,0.188884,0.174243
16,0.715451,0.000508553,0.0113859,0.162515,0.175688
17,0.348127,0.00117221,0.0329106,0.387136,0.150135
18,0.437606,0.000146292,0.0143808,0.337455,0.207039
19,0.662173,0.00213765,0.0116058,0.0789622,0.217526
20,0.0078179,0.010954,0.159933,0.0182541,0.85044
21,0.67591,0.00332242,0.0140171,0.0627491,0.246721
22,0.0112945,0.019734,0.0884736,0.0163705,0.901363
23,0.574939,0.0022544,0.0110356,0.227823,0.205631
24,0.0172385,0.00703309,0.079037,0.00849404,0.878148
25,0.728726,0.000562989,0.012274,0.238089,0.0958481
26,0.613325,0.00615351,0.0607444,0.0130928,0.293693
27,0.880015,0.00854444,0.00782745,0.0208756,0.150448
28,0.0778725,0.0259956,0.123603,0.0437273,0.679822
29,0.460959,0.00169585,0.0168843,0.310253,0.172723
30,0.510344,0.00137847,0.0132261,0.296026,0.183717
31,0.500984,0.00296525,0.0396418,0.0424111,0.268505
32,0.771962,5.53726e-05,0.00653152,0.132207,0.162609
33,0.573882,0.00719709,0.0959611,0.0122618,0.278034
34,0.774175,0.00229078,0.00881603,0.0463412,0.220881
35,0.146444,0.0125873,0.0253295,0.0346316,0.694706
36,0.564238,0.000295872,0.0116522,0.227296,0.188603
37,0.500639,0.00651949,0.0937973,0.0181425,0.278106
38,0.621034,0.00156187,0.00873957,0.219482,0.188745
39,0.472251,0.000785802,0.025158,0.344218,0.137833
40,0.541659,0.000391738,0.0319292,0.052997,0.26036
41,0.0820085,0.000285477,0.0305154,0.234988,0.558158
42,0.0146114,0.0191741,0.106547,0.011469,0.840106
43,0.730257,0.00385567,0.0112537,0.0489033,0.246958
44,0.0162134,0.0191246,0.145206,0.0117898,0.826938
45,0.591498,0.00480027,0.065321,0.0155784,0.271484
46,0.722141,2.34935e-06,0.0170466,0.0257601,0.253432
47,0.655027,0.00363744,0.0147152,0.0563255,0.219518
48,0.393386,0.00248312,0.080367,0.325634,0.151432
49,0.479491,0.000624296,0.0141727,0.315317,0.135602
50,0.105725,0.00295591,0.0345488,0.223302,0.403562
51,0.153225,0.0747273,0.0494944,0.0574156,0.531298
52,0.208779,3.63993e-05,0.0492525,0.524846,0.119433
53,0.768618,0.00191709,0.00870516,0.0508845,0.227298
