ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.853263,0.000450424,0.0124245,0.0571976,0.128537
2,6.42302e-05,0.000691218,0.000602792,0.136672,0.808632
3,0.000751082,0.00775126,0.0157351,0.00917585,0.996839
4,0.122454,1.90313e-05,0.0547803,0.0780024,0.483256
5,0.0720146,0.00172472,0.101276,0.0904234,0.594913
6,0.0508477,0.00165417,0.178,0.134934,0.554802
7,0.000328343,0.0109934,0.899991,0.931365,0.755572
8,1.18331e-06,0.00899537,0.00881094,0.00803498,0.997816
9,0.000237983,0.0222686,0.0232251,0.0788812,0.709776
10,5.39947e-05,0.0102139,0.004667,0.333212,0.135508
11,0.000222428,0.00209774,0.0401709,0.0515971,0.636541
12,0.592176,0.00111184,0.00170866,0.42266,0.0117379
13,6.70526e-05,0.0221314,0.00411897,0.260787,0.144199
14,0.0234396,0.00119978,0.290748,0.0136262,0.757999
15,0.426051,0.00634102,0.033179,0.0266057,0.105434
16,0.000225903,0.0135356,0.0196978,0.0665756,0.76747
17,0.0200579,0.000897999,0.430186,0.271748,0.578185
18,0.000516737,4.74506e-05,0.0136728,0.974903,0.175182
19,3.82235e-07,0.00487868,0.013691,0.0413501,0.998051
20,0.00246802,0.000487942,0.0229454,0.00835767,0.989175
21,4.59415e-07,0.00633262,0.019608,0.0204788,0.998223
22,0.0113334,0.395404,0.119449,0.0800612,0.991986
23,0.127778,0.00176772,0.0884923,0.0563035,0.540968
24,0.0148421,0.000488259,0.00465867,0.00120475,0.987688
25,9.67389e-05,0.000814717,0.00032235,0.0919259,0.820433
26,0.000232426,0.00540198,0.0549597,0.00128524,0.998516
27,0.000531588,0.000824372,0.000101164,0.0287327,0.606191
28,0.0438413,0.00157337,0.185904,0.0106239,0.650283
29,0.0489987,0.00146348,0.17409,0.134547,0.57595
30,0.0700484,0.00131239,0.108099,0.0966524,0.577305
31,1.20875e-05,0.00101565,0.473222,0.0353696,0.820318
32,0.00135607,0.00883601,0.014466,0.0187978,0.164198
33,0.0185419,0.018694,0.118097,0.0156913,0.791226
34,0.00124981,0.0103808,0.0110912,0.00596485,0.996479
35,0.0434285,0.00069188,0.00138052,0.00916794,0.974306
36,0.112621,5.76119e-05,0.0879895,0.0563897,0.547272
37,8.81955e-05,0.00441715,0.135229,0.00309264,0.998672
38,0.169154,0.00194857,0.0492978,0.0427433,0.536834
39,3.59438e-07,0.00390811,0.0212275,0.984564,0.261552
40,0.0242724,5.56892e-05,0.301195,0.0131385,0.679826
41,0.860173,2.52028e-06,0.0113831,0.0585311,0.12769
42,0.000302062,0.0065815,0.0386066,0.00171513,0.997936
43,8.2827e-07,0.00862603,0.0127706,0.0124449,0.998002
44,0.0393132,0.0200821,0.0517905,0.0148702,0.710828
45,0.000183967,0.00368349,0.0696379,0.00207735,0.99845
46,4.26154e-06,1.83317e-05,0.0116392,0.120024,0.882105
47,4.03589e-07,0.00751442,0.0285141,0.0283592,0.997951
48,0.0283109,0.0212615,0.012771,0.369511,0.103675
49,3.908e-05,0.00146015,0.19804,0.208774,0.681588
50,0.107391,0.00946069,0.0293669,0.124146,0.61167
51,0.154723,0.0582906,0.0100158,0.092846,0.684718
52,9.27041e-06,0.00108986,0.0896229,0.167312,0.778622
53,0.00112559,0.008429,0.0104643,0.00637112,0.996689
54,0.0554059,0.00128647,0.00187539,0.00790363,0.968939
55,0.0132142,0.439459,0.137474,0.398194,0.986488
56,2.12983e-08,0.00471604,0.387728,0.242389,0.998556
57,0.128806,0.00152042,0.0968779,0.0605266,0.501392
58,0.0137639,0.272124,0.0744299,0.0857346,0.991509
59,0.00573621,0.00039966,0.0123131,0.002875,0.988965
60,0.498237,0.00650185,0.0190031,0.0183825,0.122944
61,0.0249146,0.00956753,0.187454,0.0192006,0.825092
62,0.0105198,0.00598952,0.0337088,0.612051,0.116258
63,0.1146,0.00018497,0.0302994,0.116444,0.687724
64,0.000285371,0.00751368,0.0436143,0.00137034,0.997971
65,0.000260398,0.00737245,0.0476848,0.001489,0.997993
66,0.000168748,0.00170019,0.0582765,0.0707414,0.606983
67,1.28408e-06,0.00431443,0.00505087,0.010482,0.997927
68,0.0280017,7.74535e-05,0.829842,0.889319,0.19296
69,0.100522,0.00137879,0.0939158,0.0947503,0.516216
70,0.0092795,0.000442173,0.00754518,0.0018536,0.988337
71,0.936679,0.000960456,0.0191592,0.0023073,0.0313091
72,0.000260614,0.00243061,0.0366641,0.0466873,0.613136
73,0.0120199,0.441022,0.189961,0.0949914,0.986982
74,0.072631,0.00148342,0.110725,0.0969428,0.556172
75,0.699561,0.00434014,0.00982494,0.00796668,0.270837
76,0.877777,0.00918582,0.0018884,0.0584635,0.279726
77,0.000176262,0.0166733,0.00679806,0.075371,0.718558
78,7.10686e-05,0.0036147,0.143093,0.00410942,0.998825
79,0.00438813,0.00348223,0.00577295,0.00648706,0.197833
80,0.0469805,0.0357264,0.0392779,0.10048,0.701582
81,0.000291109,0.00754473,0.0427743,0.00134582,0.997967
82,0.0170316,0.408216,0.102197,0.0772459,0.989744
83,0.153572,0.0015253,0.0594516,0.0631559,0.502242
84,0.000319851,0.00927331,0.0457193,0.00127178,0.997841
85,0.0113611,8.46373e-06,0.43383,0.388506,0.62487
86,0.000386616,0.00691211,0.0384824,0.00140037,0.997633
87,0.530525,0.00147574,0.00217591,0.412689,0.0129472
88,5.04457e-05,0.0186641,0.00514634,0.305293,0.158902
89,0.00926822,0.00083968,0.0113406,0.00126819,0.988566
90,5.77583e-06,0.000197246,0.00317097,0.00234766,0.996968
91,1.78011e-05,0.00509595,0.477515,0.0172378,0.998452
92,5.52702e-05,0.00457597,0.172663,0.00661667,0.998476
93,0.000227512,0.0391383,0.00571124,0.0870341,0.821675
94,0.0443395,0.00118631,0.165793,0.142456,0.590889
95,2.10139e-07,0.00341182,0.0456444,0.00234706,0.999097
96,0.0739311,1.26836e-05,0.0958238,0.0985551,0.571162
97,5.88602e-05,0.0017208,0.116624,0.144369,0.698302
98,0.000285371,0.00751368,0.0436143,0.00137034,0.997971
99,0.881127,0.00363238,0.00210776,0.0517294,0.164869
100,7.95542e-05,2.56028e-05,0.0330463,0.14564,0.654403
101,0.000907192,0.00690279,0.0111664,0.00845664,0.997069
102,7.45857e-07,0.00700183,0.0120498,0.0132867,0.998121
103,0.0005158,0.00954414,0.0158929,0.0224484,0.997707
104,0.0949755,0.00241822,0.0770326,0.0878725,0.48227
105,1.00747e-06,0.0059658,0.00513582,0.0175785,0.99782
106,0.108964,0.00145185,0.0688252,0.0644688,0.563604
107,0.000452352,0.00521079,0.0137074,0.974189,0.199384
108,0.6851,0.000220404,0.045066,0.142513,0.12024
109,0.00264815,9.46688e-05,0.0144146,0.00134998,0.12335
110,0.00191979,0.00538893,0.0162085,0.0150205,0.166683
111,3.94407e-05,0.00125582,0.214365,0.221747,0.646207
112,0.0451652,0.0234711,0.00782721,0.274032,0.0985928
113,0.00464674,0.00427726,0.624694,0.654983,0.754245
114,0.0456195,0.00155909,0.155965,0.133712,0.608315
115,0.0161208,0.000913247,0.00821329,0.00106731,0.985133
116,0.119354,0.00211814,0.0512062,0.0574151,0.568559
117,0.000177065,0.00161037,0.0565019,0.0605384,0.649022
118,0.00011338,0.0240048,0.111396,0.103758,0.996988
119,0.0251771,0.00176007,0.708071,0.376279,0.161474
120,0.0199332,0.0130892,0.103385,0.0216845,0.780613
121,1.33625e-06,0.00435028,0.00485065,0.0101135,0.997918
122,0.129426,0.0319352,0.0146322,0.0486681,0.615918
123,0.00121167,0.00588335,0.00902348,0.00883649,0.996474
124,0.014777,0.411542,0.100975,0.0759705,0.990799
125,0.0367547,1.41349e-05,0.000252529,0.0138468,0.812732
126,0.236849,0.00023352,0.00678873,0.0524453,0.626927
127,2.06122e-05,0.003265,0.408109,0.0114778,0.998877
128,1.42301e-06,0.0112604,0.00861681,0.00700221,0.997657
129,0.00116481,0.00734967,0.009439,0.00812768,0.996639
130,0.00121167,0.00588335,0.00902348,0.00883649,0.996474
131,0.0739311,1.26836e-05,0.0958238,0.0985551,0.571162
132,0.00112559,0.008429,0.0104643,0.00637112,0.996689
133,0.00032424,0.0119111,0.0362518,0.00101879,0.998441
134,0.000532187,5.7912e-05,0.0291258,0.0448065,0.184172
135,4.00095e-08,0.00318955,0.222273,0.186597,0.998414
136,9.66949e-05,0.00251803,0.0735903,0.101111,0.665648
137,0.000250585,0.00533159,0.0554264,0.0326908,0.996861
138,0.0115436,0.396332,0.117469,0.0788271,0.991969
139,6.15333e-06,0.0066577,0.511297,0.678071,0.802646
140,0.0800142,0.00182989,0.116652,0.0912917,0.540951
141,0.000170664,0.00184408,0.0473251,0.0653208,0.636164
142,0.051669,0.0018468,0.00217734,0.00569704,0.970783
143,1.38201e-05,2.49196e-05,0.47786,0.380768,0.690896
144,5.06583e-06,0.000790128,0.627349,0.620991,0.740051
145,5.82464e-05,0.0258467,0.0056047,0.292102,0.140159
146,8.06412e-06,0.0154195,0.0381544,0.705009,0.181799
147,0.0265928,0.00758197,0.0236218,0.000651362,0.0306653
148,0.00742939,0.000840268,0.627413,0.493814,0.591744
149,0.0092795,0.000442173,0.00754518,0.0018536,0.988337
150,0.000734307,0.00880303,0.0133698,0.0131041,0.996184
151,1.5499e-07,0.00453117,0.0850904,0.00329559,0.998954
152,0.000133119,0.00531552,0.098158,0.0041792,0.997939
153,0.000200301,0.00170065,0.0379632,0.0549396,0.65064
154,0.0655738,0.00202401,0.165944,0.130078,0.490006
155,7.52585e-05,0.00348832,0.140472,0.00618713,0.789706
156,0.00125237,0.0086916,0.015672,0.0201792,0.165463
157,0.0191732,0.00119581,0.361749,0.272605,0.603007
158,0.0140902,0.00212704,0.00717779,0.000962346,0.986854
159,1.82005e-06,0.00315607,0.00755224,0.0201317,0.996431
160,0.0679333,0.00302097,0.108535,0.109425,0.555566
161,0.000776283,0.000144572,0.0086818,0.038765,0.160723
162,0.507136,0.00472132,0.0322819,0.0256687,0.0938396
163,0.71056,0.144566,0.371554,0.324203,0.291087
164,1.29138e-06,0.0187802,0.00733341,0.00795878,0.99777
165,0.000321561,0.0113962,0.0254631,0.0355913,0.997616
166,1.541e-06,0.011447,0.00794934,0.00651687,0.997635
167,0.0451652,0.0234711,0.00782721,0.274032,0.0985928
168,0.000107092,0.00201964,0.0862138,0.0989542,0.637184
169,0.108836,0.0123057,0.0351057,0.10468,0.615623
170,0.160104,0.00178548,0.0478255,0.0456844,0.53071
171,0.00353483,0.02808,0.344478,0.128151,0.882915
172,0.000111109,0.00176371,0.102123,0.0919515,0.650025
173,1.2258e-05,0.0156267,0.0228956,0.622681,0.170126
174,7.55045e-06,0.0141449,0.0370019,0.719279,0.178167
175,0.0751508,0.00129536,0.130512,0.0900682,0.569946
176,0.000783566,0.0107517,0.0147475,0.01272,0.995961
177,0.00186623,0.000712181,0.892729,0.757765,0.660948
178,0.100467,0.0476521,0.0144275,0.0944215,0.784046
179,2.62973e-05,0.0022108,0.205883,0.0208922,0.79349
180,0.926488,0.00270865,0.0233106,0.00247525,0.0314958
181,0.000290723,0.00754266,0.0428298,0.00134744,0.997967
182,0.0450244,0.00148477,0.00213821,0.00630783,0.972599
183,0.127778,0.00176772,0.0884923,0.0563035,0.540968
184,0.402342,0.000674949,0.000553542,0.365397,0.21874
185,6.59667e-05,0.00182573,0.133982,0.145673,0.65001
